"ValueClassification","Value","DescriptionClassification","Description"
"(U) ","APP:I2","(U) ","APP Domain: Identify Intelligence"
"(U) ","APP:DOMEX","(U) ","APP Domain: Document and Media Exploitation"
"(U) ","APP:BEI","(U) ","APP Domain: Bio-metrics Enabled Intelligence"
"(U) ","APP:FEI","(U) ","APP Domain: Forensics Enabled Intelligence"
"(U) ","CI:Collection","(U) ","CI Domain: Collection"
"(U) ","CI:AnalysisAndProduction","(U) ","CI Domain: Analysis and Production"
"(U) ","CI:Investigations","(U) ","CI Domain: Investigations"
"(U) ","CI:Operations","(U) ","CI Domain: Operations"
"(U) ","CI:FunctionalServices","(U) ","CI Domain: Functional Services"
"(U) ","GEOINT:Imagery","(U) ","GEOINT Domain: Imagery"
"(U) ","GEOINT:IMINT","(U) ","GEOINT Domain: Imagery Intelligence"
"(U) ","GEOINT:IMINT:EO","(U) ","GEOINT Domain: Imagery Intelligence (Electro-optical)"
"(U) ","GEOINT:IMINT:EO:Panchromatic","(U) ","GEOINT Domain: Imagery Intelligence (Electro-optical, Panchromatic)"
"(U) ","GEOINT:IMINT:EO:IR","(U) ","GEOINT Domain: Imagery Intelligence (Electro-optical, Infrared)"
"(U) ","GEOINT:IMINT:EO:Spectral","(U) ","GEOINT Domain: Imagery Intelligence (Electro-optical, Spectral)"
"(U) ","GEOINT:IMINT:EO:Spectral:MSI","(U) ","GEOINT Domain: Imagery Intelligence (Electro-optical, Spectral, Multi)"
"(U) ","GEOINT:IMINT:EO:Spectral:HSI","(U) ","GEOINT Domain: Imagery Intelligence (Electro-optical, Spectral, Hyper)"
"(U) ","GEOINT:IMINT:Radar","(U) ","GEOINT Domain: Imagery Intelligence (Radar)"
"(U) ","GEOINT:IMINT:Lidar","(U) ","GEOINT Domain: Imagery Intelligence (Lidar)"
"(U) ","GEOINT:GeospatialInformation","(U) ","GEOINT Domain: Geospatial Information"
"(U) ","HUMINT:Interrogation","(U) ","HUMINT Domain: Interrogation"
"(U) ","HUMINT:SourceOperations","(U) ","HUMINT Domain: Source Operations"
"(U) ","HUMINT:SourceOperations:WalkIn","(U) ","HUMINT Domain: Source Operations (Walk-In)"
"(U) ","HUMINT:SourceOperations:Developed","(U) ","HUMINT Domain: Source Operations (Developed Sources)"
"(U) ","HUMINT:SourceOperations:Unwitting","(U) ","HUMINT Domain: Source Operations (Unwitting Persons)"
"(U) ","HUMINT:Debriefing","(U) ","HUMINT Domain: Debriefing"
"(U) ","HUMINT:Debriefing:FriendlyForces","(U) ","HUMINT Domain: Debriefing (Friendly Forces Personnel)"
"(U) ","HUMINT:Debriefing:RefugeesOrDisplaced","(U) ","HUMINT Domain: Debriefing (Refugees or Displaced Persons)"
"(U) ","HUMINT:Debriefing:Returnees","(U) ","HUMINT Domain: Debriefing (Returnees)"
"(U) ","HUMINT:Debriefing:Volunteers","(U) ","HUMINT Domain: Debriefing (Volunteers)"
"(U) ","MASINT:EO","(U) ","MASINT Domain: Electro-optical"
"(U) ","MASINT:Geophysical","(U) ","MASINT Domain: Geophysical"
"(U) ","MASINT:Materials","(U) ","MASINT Domain: Materials"
"(U) ","MASINT:NuclearRadiation","(U) ","MASINT Domain: Nuclear Radiation"
"(U) ","MASINT:Radar","(U) ","MASINT Domain: Radar"
"(U) ","MASINT:RF","(U) ","MASINT Domain: Radio Frequency"
"(U) ","OSINT:Academia","(U) ","OSINT Domain: Academia"
"(U) ","OSINT:Interagency","(U) ","OSINT Domain: Interagency"
"(U) ","OSINT:Newspapers/Periodicals","(U) ","OSINT Domain: Newspapers/Periodicals"
"(U) ","OSINT:DueDiligence","(U) ","OSINT Domain: Due Diligence"
"(U) ","OSINT:MediaBroadcasts","(U) ","OSINT Domain: Media Broadcasts"
"(U) ","OSINT:Internet","(U) ","OSINT Domain: Internet"
"(U) ","OSINT:AlternativeCollections","(U) ","OSINT Domain: Alternative Collections"
"(U) ","SIGINT:COMINT","(U) ","SIGINT Domain: Communications Intelligence"
"(U) ","SIGINT:ELINT","(U) ","SIGINT Domain: Electronic Intelligence"
"(U) ","SIGINT:ELINT:OPELINT","(U) ","SIGINT Domain: Electronic Intelligence (Operational)"
"(U) ","SIGINT:ELINT:TECHELINT","(U) ","SIGINT Domain: Electronic Intelligence (Technical)"
"(U) ","SIGINT:FISINT","(U) ","SIGINT Domain: Foreign Instrumentation Signals Intelligence"
"(U) ","TECHINT:WeaponSystem","(U) ","TECHINT Domain: Weapon Systems Intelligence"
"(U) ","TECHINT:Scientific","(U) ","TECHINT Domain: Scientific Intelligence"

